respondent_id,persona_id,synthetic_numeric_id,source_profile_id,sampled_template_id,sampled_baseline_source_human_id,ID,GROUP,SURVEY,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV,task_count,persona_source,purpose_text,first_class_text,ticket_text,who_text,luggage_text,age_text,sex_text,income_text,ga_text,origin_text,dest_text,survey_text,car_av_text
AI0013,AI0013,13,777,S1_TPL004,797,777,3,1,3,1,1,2,1,4,1,2,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,luggage code 1,age code 4,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0014,AI0014,14,728,S1_TPL040,550,728,3,1,3,1,1,2,0,3,1,3,0,25,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 1,car is available for this trip
AI0015,AI0015,15,892,S1_TPL028,642,892,3,1,3,1,3,2,0,3,1,3,0,22,12,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 12,survey stratum 1,car is available for this trip
AI0016,AI0016,16,719,S1_TPL003,894,719,3,1,3,1,1,2,0,3,1,3,0,17,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 22,survey stratum 1,car is available for this trip
AI0017,AI0017,17,319,S0_TPL018,386,319,2,0,3,0,6,1,1,5,1,4,1,2,22,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 6,payer code 1,luggage code 1,age code 5,male,income code 4,has a GA travelcard,origin zone code 2,destination zone code 22,survey stratum 0,car is not available for this trip
AI0018,AI0018,18,322,S0_TPL024,91,322,2,0,3,0,6,1,3,5,0,4,1,25,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 6,payer code 1,luggage code 3,age code 5,female,income code 4,has a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 0,car is available for this trip
AI0019,AI0019,19,44,S0_TPL020,50,44,2,0,1,0,6,2,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
AI0020,AI0020,20,818,S1_TPL001,832,818,3,1,3,1,1,3,1,3,1,2,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 3,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0021,AI0021,21,338,S0_TPL177,24,338,2,0,3,0,10,1,1,1,0,4,0,25,22,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 10,payer code 1,luggage code 1,age code 1,female,income code 4,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is not available for this trip
AI0022,AI0022,22,542,S1_TPL045,652,542,3,1,3,0,1,0,0,3,1,0,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 0,no luggage,age code 3,male,income code 0,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 1,car is available for this trip
AI0023,AI0023,23,719,S1_TPL016,767,719,3,1,3,1,1,2,0,3,1,3,0,17,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 22,survey stratum 1,car is available for this trip
AI0024,AI0024,24,15,S0_TPL009,80,15,2,0,1,0,1,2,1,3,1,2,0,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
AI0025,AI0025,25,829,S1_TPL070,456,829,3,1,3,1,1,3,1,3,1,3,0,17,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 3,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 22,survey stratum 1,car is available for this trip
AI0026,AI0026,26,293,S0_TPL003,74,293,2,0,3,0,5,1,1,3,0,2,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 5,payer code 1,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 0,car is available for this trip
AI0027,AI0027,27,478,S1_TPL014,785,478,3,1,1,1,1,1,0,2,1,3,0,25,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 1,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 1,car is available for this trip
AI0028,AI0028,28,21,S0_TPL005,364,21,2,0,1,0,3,1,0,2,1,4,0,25,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 1,no luggage,age code 2,male,income code 4,does not have a GA travelcard,origin zone code 25,destination zone code 2,survey stratum 0,car is not available for this trip
AI0029,AI0029,29,591,S1_TPL017,884,591,3,1,3,0,1,3,1,2,1,2,0,1,22,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 3,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 22,survey stratum 1,car is available for this trip
AI0030,AI0030,30,59,S0_TPL062,356,59,2,0,1,0,8,2,1,3,0,3,0,17,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 2,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 22,survey stratum 0,car is available for this trip
AI0031,AI0031,31,857,S1_TPL005,829,857,3,1,3,1,3,2,0,2,1,3,0,17,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 25,survey stratum 1,car is available for this trip
AI0032,AI0032,32,310,S0_TPL006,296,310,2,0,3,0,6,1,1,3,1,1,1,17,1,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 6,payer code 1,luggage code 1,age code 3,male,income code 1,has a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
AI0033,AI0033,33,916,S1_TPL009,641,916,3,1,3,1,3,2,1,4,1,3,0,1,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 22,survey stratum 1,car is available for this trip
AI0034,AI0034,34,330,S0_TPL155,330,330,2,0,3,0,7,1,1,2,1,1,1,2,9,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 7,payer code 1,luggage code 1,age code 2,male,income code 1,has a GA travelcard,origin zone code 2,destination zone code 9,survey stratum 0,car is not available for this trip
AI0035,AI0035,35,550,S1_TPL013,580,550,3,1,3,0,1,1,1,2,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 1,car is available for this trip
AI0036,AI0036,36,768,S1_TPL032,476,768,3,1,3,1,1,2,1,3,1,3,0,2,17,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 1,car is available for this trip
AI0037,AI0037,37,269,S0_TPL020,394,269,2,0,3,0,3,1,1,1,0,1,0,22,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 1,luggage code 1,age code 1,female,income code 1,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 0,car is available for this trip
AI0038,AI0038,38,389,S0_TPL018,44,389,2,0,3,1,7,1,1,5,1,1,1,23,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 7,payer code 1,luggage code 1,age code 5,male,income code 1,has a GA travelcard,origin zone code 23,destination zone code 25,survey stratum 0,car is available for this trip
AI0039,AI0039,39,743,S1_TPL026,786,743,3,1,3,1,1,2,0,3,1,3,0,1,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 22,survey stratum 1,car is available for this trip
AI0040,AI0040,40,255,S0_TPL110,224,255,2,0,3,0,1,1,1,3,0,3,0,1,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 1,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
AI0041,AI0041,41,559,S1_TPL013,914,559,3,1,3,0,1,2,0,2,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0042,AI0042,42,396,S0_TPL150,292,396,2,0,3,1,10,1,1,3,1,2,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 10,payer code 1,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 0,car is available for this trip
AI0043,AI0043,43,856,S1_TPL040,604,856,3,1,3,1,3,2,0,2,1,3,0,17,2,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 1,car is available for this trip
AI0044,AI0044,44,68,S0_TPL157,6,68,2,0,1,1,1,2,1,2,1,2,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
AI0045,AI0045,45,880,S1_TPL018,830,880,3,1,3,1,3,2,0,4,1,3,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,no luggage,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0046,AI0046,46,869,S1_TPL041,479,869,3,1,3,1,3,2,0,3,1,3,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0047,AI0047,47,733,S1_TPL030,556,733,3,1,3,1,1,2,0,4,1,3,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 1,car is available for this trip
AI0048,AI0048,48,55,S0_TPL113,32,55,2,0,1,0,8,1,1,1,0,1,0,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 1,luggage code 1,age code 1,female,income code 1,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
AI0049,AI0049,49,14,S0_TPL152,87,14,2,0,1,0,1,2,1,3,1,2,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
AI0050,AI0050,50,834,S1_TPL008,621,834,3,1,3,1,3,0,0,4,1,0,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 0,no luggage,age code 4,male,income code 0,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0051,AI0051,51,717,S1_TPL029,829,717,3,1,3,1,1,2,0,3,1,3,0,17,11,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 11,survey stratum 1,car is available for this trip
AI0052,AI0052,52,590,S1_TPL037,651,590,3,1,3,0,1,3,1,3,1,3,0,2,20,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 3,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 20,survey stratum 1,car is available for this trip
AI0053,AI0053,53,707,S1_TPL053,912,707,3,1,3,1,1,2,0,3,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0054,AI0054,54,622,S1_TPL026,657,622,3,1,3,0,3,2,0,3,1,3,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0055,AI0055,55,562,S1_TPL109,923,562,3,1,3,0,1,2,0,3,1,3,0,22,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 1,car is available for this trip
AI0056,AI0056,56,730,S1_TPL038,686,730,3,1,3,1,1,2,0,4,1,3,0,1,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 22,survey stratum 1,car is available for this trip
AI0057,AI0057,57,44,S0_TPL008,335,44,2,0,1,0,6,2,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
AI0058,AI0058,58,567,S1_TPL097,711,567,3,1,3,0,1,2,1,2,1,2,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0059,AI0059,59,628,S1_TPL001,560,628,3,1,3,0,3,2,1,2,1,2,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 1,car is available for this trip
AI0060,AI0060,60,600,S1_TPL017,815,600,3,1,3,0,3,1,0,2,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 1,no luggage,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 1,car is available for this trip
AI0061,AI0061,61,583,S1_TPL003,809,583,3,1,3,0,1,2,1,4,1,3,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 1,car is available for this trip
AI0062,AI0062,62,24,S0_TPL177,263,24,2,0,1,0,3,2,1,3,1,2,0,17,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is not available for this trip
AI0063,AI0063,63,937,S1_TPL074,926,937,3,1,3,1,6,1,0,4,1,3,0,1,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 6,payer code 1,no luggage,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 25,survey stratum 1,car is available for this trip
AI0064,AI0064,64,351,S0_TPL119,235,351,2,0,3,1,1,1,1,5,0,4,0,17,2,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 1,luggage code 1,age code 5,female,income code 4,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
AI0065,AI0065,65,562,S1_TPL134,928,562,3,1,3,0,1,2,0,3,1,3,0,22,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 1,car is available for this trip
AI0066,AI0066,66,391,S0_TPL002,246,391,2,0,3,1,8,1,0,4,0,2,0,25,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 8,payer code 1,no luggage,age code 4,female,income code 2,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is available for this trip
AI0067,AI0067,67,34,S0_TPL037,307,34,2,0,1,0,6,1,0,3,0,2,1,1,10,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,no luggage,age code 3,female,income code 2,has a GA travelcard,origin zone code 1,destination zone code 10,survey stratum 0,car is not available for this trip
AI0068,AI0068,68,586,S1_TPL030,458,586,3,1,3,0,1,3,0,2,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 3,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0069,AI0069,69,252,S0_TPL126,77,252,2,0,3,0,1,1,1,2,1,2,0,2,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 0,car is available for this trip
AI0070,AI0070,70,666,S1_TPL064,446,666,3,1,3,1,1,0,0,5,1,0,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 0,no luggage,age code 5,male,income code 0,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0071,AI0071,71,729,S1_TPL045,867,729,3,1,3,1,1,2,0,3,1,3,0,25,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 1,car is available for this trip
AI0072,AI0072,72,610,S1_TPL004,466,610,3,1,3,0,3,1,1,3,1,2,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 1,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0073,AI0073,73,282,S0_TPL049,1,282,2,0,3,0,3,1,3,3,0,1,0,23,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 1,luggage code 3,age code 3,female,income code 1,does not have a GA travelcard,origin zone code 23,destination zone code 25,survey stratum 0,car is available for this trip
AI0074,AI0074,74,99,S0_TPL168,298,99,2,0,1,1,6,3,1,3,1,3,1,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 3,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
AI0075,AI0075,75,593,S1_TPL001,795,593,3,1,3,0,3,0,0,2,1,0,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 0,no luggage,age code 2,male,income code 0,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0076,AI0076,76,696,S1_TPL019,821,696,3,1,3,1,1,2,0,2,1,3,0,2,17,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 1,car is available for this trip
AI0077,AI0077,77,341,S0_TPL077,291,341,2,0,3,0,10,1,1,4,1,1,0,25,22,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 10,payer code 1,luggage code 1,age code 4,male,income code 1,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is available for this trip
AI0078,AI0078,78,573,S1_TPL084,859,573,3,1,3,0,1,2,1,3,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 1,car is available for this trip
AI0079,AI0079,79,44,S0_TPL180,93,44,2,0,1,0,6,2,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
AI0080,AI0080,80,646,S1_TPL006,444,646,3,1,3,0,3,2,1,3,1,3,0,1,25,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 25,survey stratum 1,car is available for this trip
AI0081,AI0081,81,687,S1_TPL069,889,687,3,1,3,1,1,1,1,2,1,2,0,1,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 25,survey stratum 1,car is available for this trip
AI0082,AI0082,82,765,S1_TPL002,854,765,3,1,3,1,1,2,1,3,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0083,AI0083,83,366,S0_TPL007,9,366,2,0,3,1,3,1,3,4,1,1,0,23,25,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 1,luggage code 3,age code 4,male,income code 1,does not have a GA travelcard,origin zone code 23,destination zone code 25,survey stratum 0,car is available for this trip
AI0084,AI0084,84,647,S1_TPL064,558,647,3,1,3,0,3,2,1,4,0,2,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,luggage code 1,age code 4,female,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0085,AI0085,85,337,S0_TPL147,254,337,2,0,3,0,8,2,1,1,0,1,0,25,22,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 8,payer code 2,luggage code 1,age code 1,female,income code 1,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is not available for this trip
AI0086,AI0086,86,325,S0_TPL008,310,325,2,0,3,0,7,1,1,1,0,1,1,1,2,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 7,payer code 1,luggage code 1,age code 1,female,income code 1,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is not available for this trip
AI0087,AI0087,87,833,S1_TPL003,770,833,3,1,3,1,3,0,0,3,1,0,0,25,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 3,payer code 0,no luggage,age code 3,male,income code 0,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 1,car is available for this trip
AI0088,AI0088,88,83,S0_TPL031,14,83,2,0,1,1,5,2,1,2,0,4,0,2,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 2,female,income code 4,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 0,car is available for this trip
