GROUP,SURVEY,SP,ID,respondent_id,persona_id,source_profile_id,sampled_template_id,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,custom_id,task_position,task_id,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,chosen_alternative_name,sex_text,age_text,income_text,ga_text,car_av_text,luggage_text,purpose_text,first_class_text,ticket_text,who_text,origin_text,dest_text,survey_text
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,166,44,120,142,44,30,0,234,76,0,11,2,AI0002_T02,0.44,0.44,0.76,1.66,1.42,2.34,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,222,44,120,156,50,20,0,144,76,0,12,3,AI0002_T03,0.44,0.5,0.76,2.22,1.56,1.44,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,185,44,60,156,50,10,0,234,124,0,13,4,AI0002_T04,0.44,0.5,1.24,1.85,1.56,2.34,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,185,49,120,156,50,30,0,144,124,0,14,5,AI0002_T05,0.49,0.5,1.24,1.85,1.56,1.44,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,166,49,60,156,50,20,0,234,95,0,15,6,AI0002_T06,0.49,0.5,0.95,1.66,1.56,2.34,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,166,59,60,142,61,10,0,180,76,0,16,7,AI0002_T07,0.59,0.61,0.76,1.66,1.42,1.8,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,166,49,120,128,55,20,0,180,124,0,17,8,AI0002_T08,0.49,0.55,1.24,1.66,1.28,1.8,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,185,59,30,156,72,20,0,180,124,0,18,9,AI0002_T09,0.59,0.72,1.24,1.85,1.56,1.8,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,170,82,120,66,91,30,0,110,75,0,19,1,AI0003_T01,0.82,0.91,0.75,1.7,0.66,1.1,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,128,61,120,66,74,30,0,143,60,0,20,2,AI0003_T02,0.61,0.74,0.6,1.28,0.66,1.43,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,170,61,120,66,74,20,0,88,60,0,21,3,AI0003_T03,0.61,0.74,0.6,1.7,0.66,0.88,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,142,61,60,66,74,10,0,143,98,0,22,4,AI0003_T04,0.61,0.74,0.98,1.42,0.66,1.43,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,142,68,120,66,74,30,0,88,98,0,23,5,AI0003_T05,0.68,0.74,0.98,1.42,0.66,0.88,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,128,68,60,66,74,20,0,143,75,0,24,6,AI0003_T06,0.68,0.74,0.75,1.28,0.66,1.43,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,128,82,60,66,91,10,0,110,60,0,25,7,AI0003_T07,0.82,0.91,0.6,1.28,0.66,1.1,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,128,68,120,66,74,20,0,110,98,0,26,8,AI0003_T08,0.68,0.74,0.98,1.28,0.66,1.1,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,3,AI0003,AI0003,784,S1_TPL054,3,1,1,2,1,4,1,3,0,2,1,1,1,1,142,82,30,66,99,20,0,110,98,0,27,9,AI0003_T09,0.82,0.99,0.98,1.42,0.66,1.1,,male,age code 4,income code 3,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,331,270,120,99,284,30,0,230,155,0,28,1,AI0004_T01,2.7,2.84,1.55,3.31,0.99,2.3,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,248,202,120,110,255,30,0,299,124,0,29,2,AI0004_T02,2.02,2.55,1.24,2.48,1.1,2.99,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,331,202,120,121,255,20,0,184,124,0,30,3,AI0004_T03,2.02,2.55,1.24,3.31,1.21,1.84,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,276,202,60,121,255,10,0,299,202,0,31,4,AI0004_T04,2.02,2.55,2.02,2.76,1.21,2.99,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,276,225,120,121,255,30,0,184,202,0,32,5,AI0004_T05,2.25,2.55,2.02,2.76,1.21,1.84,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,248,225,60,121,255,20,0,299,155,0,33,6,AI0004_T06,2.25,2.55,1.55,2.48,1.21,2.99,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,248,270,60,110,312,10,0,230,124,0,34,7,AI0004_T07,2.7,3.12,1.24,2.48,1.1,2.3,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,248,225,120,99,284,20,0,230,202,0,35,8,AI0004_T08,2.25,2.84,2.02,2.48,0.99,2.3,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
3,1,1,4,AI0004,AI0004,739,S1_TPL019,3,1,1,2,0,2,0,3,0,3,22,1,1,1,276,270,30,121,369,20,0,230,202,0,36,9,AI0004_T09,2.7,3.69,2.02,2.76,1.21,2.3,,female,age code 2,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 3,destination zone code 22,survey stratum 1
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,134,22,30,65,26,10,0,0,0,0,37,1,AI0005_T01,0.22,0.26,0.0,1.34,0.65,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,134,22,120,59,35,10,1,0,0,0,38,2,AI0005_T02,0.22,0.35,0.0,1.34,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,134,20,30,59,35,20,0,0,0,0,39,3,AI0005_T03,0.2,0.35,0.0,1.34,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,101,20,60,59,35,30,1,0,0,0,40,4,AI0005_T04,0.2,0.35,0.0,1.01,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,112,22,30,59,29,30,1,0,0,0,41,5,AI0005_T05,0.22,0.29,0.0,1.12,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,112,20,30,59,26,10,1,0,0,0,42,6,AI0005_T06,0.2,0.26,0.0,1.12,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,112,26,60,59,26,20,0,0,0,0,43,7,AI0005_T07,0.26,0.26,0.0,1.12,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,134,26,30,59,29,30,0,0,0,0,44,8,AI0005_T08,0.26,0.29,0.0,1.34,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
2,0,1,5,AI0005,AI0005,261,S0_TPL017,3,0,1,1,3,4,1,1,0,25,22,1,0,1,112,22,60,59,35,30,0,0,0,0,45,9,AI0005_T09,0.22,0.35,0.0,1.12,0.59,0.0,,male,age code 4,income code 1,does not have a GA travelcard,car is not available for this trip,luggage code 3,purpose code 3,second class,ticket category code 1,payer code 1,origin zone code 25,destination zone code 22,survey stratum 0
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,110,89,120,39,106,30,0,60,30,0,46,1,AI0006_T01,0.89,1.06,0.3,1.1,0.39,0.6,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,83,67,120,39,95,30,0,78,24,0,47,2,AI0006_T02,0.67,0.95,0.24,0.83,0.39,0.78,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,110,67,120,43,95,20,0,48,24,0,48,3,AI0006_T03,0.67,0.95,0.24,1.1,0.43,0.48,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,92,67,60,43,95,10,0,78,39,0,49,4,AI0006_T04,0.67,0.95,0.39,0.92,0.43,0.78,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,92,74,120,43,95,30,0,48,39,0,50,5,AI0006_T05,0.74,0.95,0.39,0.92,0.43,0.48,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,83,74,60,43,95,20,0,78,30,0,51,6,AI0006_T06,0.74,0.95,0.3,0.83,0.43,0.78,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,83,89,60,39,117,10,0,60,24,0,52,7,AI0006_T07,0.89,1.17,0.24,0.83,0.39,0.6,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,83,74,120,39,106,20,0,60,39,0,53,8,AI0006_T08,0.74,1.06,0.39,0.83,0.39,0.6,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,6,AI0006,AI0006,593,S1_TPL033,3,0,3,0,0,2,1,0,0,2,1,1,1,1,92,89,30,43,138,20,0,60,39,0,54,9,AI0006_T09,0.89,1.38,0.39,0.92,0.43,0.6,,male,age code 2,income code 0,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,second class,ticket category code 3,payer code 0,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,265,106,30,119,130,10,0,150,104,0,55,1,AI0007_T01,1.06,1.3,1.04,2.65,1.19,1.5,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,265,106,120,108,143,10,0,195,169,0,56,2,AI0007_T02,1.06,1.43,1.69,2.65,1.08,1.95,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,265,95,30,97,143,20,0,195,130,0,57,3,AI0007_T03,0.95,1.43,1.3,2.65,0.97,1.95,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,199,95,60,97,143,30,0,120,169,0,58,4,AI0007_T04,0.95,1.43,1.69,1.99,0.97,1.2,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,221,106,30,97,130,30,0,195,104,0,59,5,AI0007_T05,1.06,1.3,1.04,2.21,0.97,1.95,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,221,95,30,108,117,10,0,120,130,0,60,6,AI0007_T06,0.95,1.17,1.3,2.21,1.08,1.2,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,221,127,60,97,143,20,0,120,104,0,61,7,AI0007_T07,1.27,1.43,1.04,2.21,0.97,1.2,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,265,127,30,108,143,30,0,120,169,0,62,8,AI0007_T08,1.27,1.43,1.69,2.65,1.08,1.2,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,7,AI0007,AI0007,706,S1_TPL008,3,1,1,2,0,3,1,3,0,2,1,1,1,1,221,106,60,108,143,30,0,150,130,0,63,9,AI0007_T09,1.06,1.43,1.3,2.21,1.08,1.5,,male,age code 3,income code 3,does not have a GA travelcard,car is available for this trip,no luggage,purpose code 3,first class,ticket category code 1,payer code 2,origin zone code 2,destination zone code 1,survey stratum 1
3,1,1,8,AI0008,AI0008,631,S1_TPL019,3,0,3,2,1,2,1,2,0,22,1,1,1,1,151,62,120,64,70,30,0,70,40,0,64,1,AI0008_T01,0.62,0.7,0.4,1.51,0.64,0.7,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 3,payer code 2,origin zone code 22,destination zone code 1,survey stratum 1
3,1,1,8,AI0008,AI0008,631,S1_TPL019,3,0,3,2,1,2,1,2,0,22,1,1,1,1,113,47,120,71,63,30,0,91,32,0,65,2,AI0008_T02,0.47,0.63,0.32,1.13,0.71,0.91,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 3,payer code 2,origin zone code 22,destination zone code 1,survey stratum 1
3,1,1,8,AI0008,AI0008,631,S1_TPL019,3,0,3,2,1,2,1,2,0,22,1,1,1,1,151,47,120,78,63,20,0,56,32,0,66,3,AI0008_T03,0.47,0.63,0.32,1.51,0.78,0.56,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 3,payer code 2,origin zone code 22,destination zone code 1,survey stratum 1
3,1,1,8,AI0008,AI0008,631,S1_TPL019,3,0,3,2,1,2,1,2,0,22,1,1,1,1,126,47,60,78,63,10,0,91,52,0,67,4,AI0008_T04,0.47,0.63,0.52,1.26,0.78,0.91,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 3,payer code 2,origin zone code 22,destination zone code 1,survey stratum 1
